,Internal ID,ID,Name,Duplicate,Category,Company Name,Is Individual,Sales Rep,Status,Territory,Lead Source,Partner,Start Date,End Date,Reminder Days,Date Created,Last Modified,Primary Contact,Phone,Email,Fax,Alt. Contact,Office Phone,Comments,Billing Address 1,Billing Address 2,Billing City,Billing State/Province,Billing Zip,Billing Country,Shipping Address,Billing Address,Account,Login Access,Terms,Price Level,Taxable,Tax Item,Resale Number,Balance,Unbilled Orders,Credit Limit,Overdue Balance,Days Overdue,On Credit Hold,Override Credit Hold Off,First Name,Last Name,Date of First Sale,Prospect Date,Reminder Days,County,Shipping Item
1133,1806,1046,Donald B Rossell,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,6/27/11 12:31,8/16/11 14:27,,706-861-2339,,,,,,610 Forrest Rd,,Fort Oglethorpe,GA,30742,United States,,Donald B Rossell 610 Forrest Rd Fort Oglethorpe GA 30742,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Donald,Rossell,6/27/11, 
1134,1807,1047,Belinda Smith,,Patient,,Yes,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,6/27/11 14:13,6/27/11 14:13,,423-991-6999,,,,,,,,,,,,Belinda Smith 739 Grand Mountain Drive Chattanooga TN 37421,,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,633.07,0,,633.07,209,Yes,No,Belinda,Smith,8/17/11, 
1135,1808,1048,Dotty Wilson,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,6/27/11 14:53,6/27/11 14:53,,423-339-9589,,,,,,1613 Horner Hollow Rd,,Birchwood,TN,37308,United States,Dotty Wilson 1613 Horner Hollow Rd Birchwood TN 37308,Dotty Wilson 1613 Horner Hollow Rd Birchwood TN 37308,,No,,,Yes,,,0,0,,0,,No,No,Dotty,Wilson,7/8/11, 
1136,1809,1049,Juanita Johnson,,Patient,,Yes,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,6/27/11 17:02,6/27/11 17:02,,423-994-5082,,,,,,4260 Walker Town Road,,Dayton,TN,37321,United States,Bambi - Juanita Johnson Avalon Therapy Services 6291 Vance Road Chattanooga TN 37421,Juanita Johnson 4260 Walker Town Road Dayton TN 37321,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,690,0,,738,208,Yes,No,Juanita,Johnson,8/1/11, 
1137,1810,1050,Leila S McGee,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,6/27/11 17:09,6/27/11 17:09,,423-624-5116,,,,,,320 Crestway Dr,,Chattanooga,TN,37411,United States,,Leila S McGee 320 Crestway Dr Chattanooga TN 37411,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Leila,McGee,, 
1138,1811,1051,Linda Phillips,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,6/27/11 17:58,8/19/11 14:23,,706-375-6979,,,,,,233 Arrowhead Dairy Lane,,Chickamauga,GA,30707,United States,Linda Phillips 233 Arrowhead Dairy Lane Chickamauga GA 30707,Linda Phillips 233 Arrowhead Dairy Lane Chickamauga GA 30707,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Linda,Phillips,6/28/11, 
1139,1812,1052,Todd M Walz,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,6/27/11 18:16,2/17/12 11:33,,706-483-9847,,,,,,28 Circle Dr,,Rossville,GA,30741,United States,Todd M Walz 28 Circle Dr Rossville GA 30741,Todd M Walz 28 Circle Dr Rossville GA 30741,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Todd,Walz,6/30/11, 
1140,1814,1053,Tracey Jackson,,Patient,,Yes,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,6/28/11 15:47,6/28/11 15:47,,615-289-9617,,,,,,823 Raines Street,,Nashville,TN,37212,United States,,Tracey Jackson 823 Raines Street Nashville TN 37212,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Tracey,Jackson,7/15/11, 
1141,1815,1054,Mary Patrick-Powell,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,6/28/11 17:45,8/19/11 14:27,,404-786-2797,,,,,,55 Clifton St SE,,Atlanta,GA,30317,United States,,Mary Patrick-Powell 55 Clifton St SE Atlanta GA 30317,,No,Net 30,Retail Price,Yes,,,313.2,0,,313.2,256,Yes,No,Mary,Patrick-Powell,7/1/11, 
1142,1816,1055,Anita Langley,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,6/28/11 17:53,8/16/11 13:20,,404-838-9558,,,,,,2280 Campbellton Rd SW Apt 211,,Atlanta,GA,30311,United States,,Anita Langley 2280 Campbellton Rd SW Apt 211 Atlanta GA 30311,,No,Net 30,Retail Price,Yes,,,933.62,0,,933.62,258,Yes,No,Anita,Langley,6/29/11, 
1143,1817,1056,Terrill Parks,,Patient,,Yes,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,6/28/11 18:19,6/28/11 18:19,,615-712-9146,,,,,,84 Lester Avenue,,Nashville,TN,37210,United States,,Terrill Parks 84 Lester Avenue Nashville TN 37210,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Terrill,Parks,6/29/11, 
1144,1819,1058,Dionna Seals,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,6/30/11 13:17,6/30/11 13:17,,850-933-0815,,,,,,455 Arlis Ave,,Dayton,TN,37321,United States,,Dionna Seals 455 Arlis Ave Dayton TN 37321,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Dionna,Seals,, 
1145,1821,1059,Leonard Henderson,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,6/30/11 15:17,8/19/11 14:22,,706-866-6204,,,,,,103 Stephenson Dr,,Fort Oglethorpe,GA,30742,United States,,Leonard Henderson 103 Stephenson Dr Fort Oglethorpe GA 30742,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Leonard,Henderson,, 
1146,1822,1060,Corbey Logan,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,6/30/11 16:31,6/30/11 16:31,,404-447-7848,,,,,,1601 Cobbs Creek Lane,,Decatur,GA,30032,United States,,Corbey Logan 1601 Cobbs Creek Lane Decatur GA 30032,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Corbey,Logan,7/7/11, 
1147,1823,1061,William Cureton,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,6/30/11 19:22,6/30/11 19:22,,423-760-1600,,,,,,3400 Gail Dr Apt 22,,Chattanooga,TN,37412,United States,,William Cureton 3400 Gail Dr Apt 22 Chattanooga TN 37412,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,William,Cureton,6/30/11, 
1148,1824,1062,Esther Luna,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,6/30/11 19:31,6/30/11 19:31,,423-961-6993,,,,,,PO Box 67,,Harrison,TN,37341,United States,Esther Luna PO Box 67 Harrison TN 37341,Esther Luna PO Box 67 Harrison TN 37341,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,109.7,0,,109.7,257,Yes,No,Esther,Luna,6/30/11, ,,,
1149,1827,1064,Ruby Jeffery,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/1/11 14:24,7/1/11 14:24,,479-636-0027,,,,,,300 Innisfree Circle    I-4,,Rogers,AR,72764,United States,Ruby Jeffery 300 Innisfree Circle    I-4 Rogers AR 72764,Ruby Jeffery 300 Innisfree Circle    I-4 Rogers AR 72764,,No,,,Yes,,,0,0,,0,,No,No,Ruby,Jeffery,7/7/11, ,,,UPS Ground
1150,1828,1065,Mary Howe,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/5/11 11:33,8/19/11 14:26,,706-638-5450,,,,,,2834 Foster Mill Drive,,Fort Oglethorpe,GA,30728,United States,Mary  Howe 2834 Foster Mill Drive Fort Oglethorpe GA 30728,Mary  Howe 2834 Foster Mill Drive Fort Oglethorpe GA 30728,,No,,,Yes,GA_WALKER CO,,0,0,,0,,No,No,Mary,Howe,7/13/11, ,,,Delivered by Bo Hughes
1151,1829,1066,Misty Greene,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,7/5/11 17:17,7/5/11 17:17,,423-834-1300,,,,,,592 County Road 146,,Flat Rock,AL,35966,United States,,Misty Greene 592 County Road 146 Flat Rock AL 35966,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Misty,Greene,8/12/11, ,,,
1152,1832,1069,Albert Ray,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,7/6/11 17:52,7/6/11 17:52,,423-285-5643,,,,,,207 Haywood Lane,,Dayton,TN,37321,United States,,Albert Ray 207 Haywood Lane Dayton TN 37321,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Albert,Ray,8/12/11, ,,,
1153,1834,1071,Melvin Raulston,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/7/11 16:30,7/22/11 9:40,,423-949-4224,,,,,,P O Box 2005,,Warren,MI,48090-2005,United States,Melvin Raulston 258 Cloverdale Rd Dunlap TN 37327,RE:  Melvin Raulston MSC P O Box 2005 Warren MI 48090-2005,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,1260,0,,1260,235,Yes,No,Melvin,Raulston,7/22/11, ,,,
1154,1835,1072,Donna S Wilson,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/7/11 16:40,8/16/11 14:28,,706-861-4070,,,,,,70 McCamy Lane,,Rossville,GA,30741,United States,,Donna S Wilson 70 McCamy Lane Rossville GA 30741,,No,Net 30,Retail Price,Yes,,,1238.11,0,,1238.11,249,Yes,No,Donna,Wilson,7/8/11, ,,,
1155,1836,1073,Don S Rhoden,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/7/11 17:36,7/7/11 17:37,,504-452-0064,,,,,,562 River St,,Chattanooga,TN,37405,United States,,Don S Rhoden 562 River St Chattanooga TN 37405,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Don,Rhoden,, ,,,
1156,1837,1074,Regina Adams,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/8/11 13:28,12/8/11 13:54,,678-838-9274,,,,,,P O Box 2005,,Warren,MI,48090-2005,United States,For Regina Adams C/O Bill Patella 12 Ancient Oaks Ct Marietta GA 30067,MSC P O Box 2005 Warren MI 48090-2005,,No,,,Yes,GA_COFFEE CO,,0,0,,0,,No,No,Regina,Adams,7/25/11, ,,,Delivered by Bill Patella
1157,1838,1075,Jo E Lezu,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/8/11 15:18,9/14/11 11:25,,423-309-9068,,,,,,508 Winston Road,,Chattanooga,TN,37405,United States,Jo E Lezu 508 Winston Road Chattanooga TN 37405,Jo E Lezu 508 Winston Road Chattanooga TN 37405,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,698,0,,698,246,Yes,No,Jo,Lezu,7/11/11, ,,,
1158,1840,1076,Katherine Collins,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,7/8/11 17:16,8/25/11 10:44,,423-899-3715,,,,,,1519 Morris Hill Road,,Chattanooga,TN,37421,United States,,Katherine Collins 1519 Morris Hill Road Chattanooga TN 37421,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,49.9,0,,49.9,211,Yes,No,Katherine,Collins,8/15/11, ,,,
1159,1842,1077,Robin Simons,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/11/11 12:07,2/17/12 11:34,,423-243-7900,,,,,,201 Stephenson Drive,,Fort Oglethorpe,GA,30742,United States,Robin Simons 201 Stephenson Drive Fort Oglethorpe GA 30742,Robin Simons 201 Stephenson Drive Fort Oglethorpe GA 30742,,No,,,Yes,GA_CATOOSA CO,,0,0,,0,,No,No,Robin,Simons,7/11/11, ,,,Delivered by Bo Hughes
1160,1843,1078,Sandra Twombly,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/11/11 13:02,7/11/11 13:02,,423-396-2485,,,,,,P O Box 828,,Collegedale,TN,37315,United States,Sandra Twombly P O Box 828 Collegedale TN 37315,Sandra Twombly P O Box 828 Collegedale TN 37315,,No,,,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Sandra,Twombly,7/13/11, ,,,Delivered by Bill King
1161,1846,1081,James Garrett,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,7/11/11 17:27,7/11/11 17:27,,423-322-0751,,,,,,3624 Cotton Port Road,,Dayton,TN,37321,United States,,James Garrett 3624 Cotton Port Road Dayton TN 37321,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,870.38,0,,870.38,245,Yes,No,James,Garrett,7/12/11, ,,,
1162,1847,1082,Anna S Martin,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/11/11 17:57,7/11/11 17:57,,423-499-9867,,,,,,320 Williams Dr,,Chattanooga,TN,37421,United States,,Anna S Martin 320 Williams Dr Chattanooga TN 37421,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Anna,Martin,8/24/11, ,,,
1163,1848,1083,Dorothy V Freeman,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/11/11 18:05,7/13/11 13:38,,423-486-5112,,,,,,1414 Continental Dr #506,,Chattanooga,TN,37405,United States,,Dorothy V Freeman 1414 Continental Dr #506 Chattanooga TN 37405,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Dorothy,Freeman,7/25/11, ,,,
1164,1849,1084,Marilynn M Chambers,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/11/11 18:25,7/11/11 18:25,,423-365-5799,,,,,,1308 Ware Farms Rd,,Spring City,TN,37381,United States,,Marilynn M Chambers 1308 Ware Farms Rd Spring City TN 37381,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Marilynn,Chambers,, ,,,
1165,1852,1085,Mark Rakauskas,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,7/12/11 9:48,2/1/12 15:28,,423-892-5751,,,,,,7909 Standifer Gap Rd,,Chattanooga,TN,37421,United States,,Mark Rakauskas 7909 Standifer Gap Rd Chattanooga TN 37421,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Mark,Rakauskas,8/4/11, ,,,
1166,1856,1089,Sharon Dicorato,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/12/11 17:42,7/12/11 17:42,,423-710-4672,,,,,,597 Dayco Dr,,Dayton,TN,37321,United States,,Sharon Dicorato 597 Dayco Dr Dayton TN 37321,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Sharon,Dicorato,7/13/11, ,,,
1167,1857,1090,Samuel Weathers,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/13/11 11:19,7/13/11 11:19,,423-893-0543,,,,,,8334 East Mountain Lane,,Chattanooga,TN,37421,United States,,Samuel Weathers 8334 East Mountain Lane Chattanooga TN 37421,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,205.4,0,,205.4,244,Yes,No,Samuel,Weathers,7/13/11, ,,,
1168,1858,1091,Carlton Hodnett,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/13/11 11:50,7/13/11 11:52,,423-344-7968,,,,,,6034 Morning Glory Dr,,Harrison,TN,37341,United States,,Carlton Hodnett 6034 Morning Glory Dr Harrison TN 37341,,No,Net 30,,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Carlton,Hodnett,7/13/11, ,,,
1169,1860,1093,George H Matthews,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/13/11 14:03,7/13/11 14:03,,423-624-4353,,,,,,3445 Persimmon Lane,,Chattanooga,TN,37406,United States,,George H Matthews 3445 Persimmon Lane Chattanooga TN 37406,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,186.72,0,,186.72,228,Yes,No,George,Matthews,7/29/11, ,,,
1170,1862,1094,Andrea Wilson,,Patient,,Yes,Siskin,CUSTOMER-Closed Won,,,,,,,7/13/11 17:23,7/13/11 17:23,,423-875-2689,,,,,,5303 Inlet View Lane,,Hixson,TN,37343,United States,,Andrea Wilson 5303 Inlet View Lane Hixson TN 37343,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,30.53,0,,30.53,224,Yes,No,Andrea,Wilson,8/2/11, ,,,
1171,1864,1096,Glenda Howard,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/13/11 17:52,8/16/11 14:46,,770-443-6029,,,,,,91 Ledbetter Place,,Dallas,GA,30132,United States,,Glenda Howard 91 Ledbetter Place Dallas GA 30132,,No,Net 30,Retail Price,Yes,,,0,2202,,0,,No,No,Glenda,Howard,, ,,,
1172,1865,1097,Diane Hancock,,Patient,,Yes,"Grimsley, Scott",CUSTOMER-Closed Won,,,,,,,7/13/11 18:01,7/13/11 18:01,,615-519-9960,,,,,,408 Paulson Court,,Antioch,TN,37013,United States,,Diane Hancock 408 Paulson Court Antioch TN 37013,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,91.04,0,,91.04,242,Yes,No,Diane,Hancock,7/15/11, ,,,
1173,1867,1098,Glenda Willingham,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/14/11 16:37,8/16/11 14:46,,423-653-5789,,,,,,709 Monroe Green Rd,,Trion,GA,30753,United States,,Glenda Willingham 709 Monroe Green Rd Trion GA 30753,,No,Net 30,Retail Price,Yes,,,933.62,0,,933.62,239,Yes,No,Glenda,Willingham,7/18/11, ,,,
1174,1869,1100,Mary L Webb,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/14/11 16:45,8/19/11 14:27,,706-618-2218,,,,,,178 Woods Rd,,Ringgold,GA,30736,United States,,Mary L Webb 178 Woods Rd Ringgold GA 30736,,No,Net 30,Retail Price,Yes,,,933.62,0,,933.62,239,Yes,No,Mary,Webb,7/18/11, ,,,
1175,1870,1101,William Dillard,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/14/11 16:55,7/14/11 16:55,,423-472-7261,,,,,,495 Nopone Rd,,Georgetown,TN,37336,United States,,William Dillard 495 Nopone Rd Georgetown TN 37336,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,William,Dillard,7/25/11, ,,,
1176,1871,1102,Floy Poulos,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/14/11 17:05,8/16/11 14:38,,706-402-3003,,,,,,3705 Hwy 136 west,,Trenton,GA,30752,United States,,Floy Poulos 3705 Hwy 136 west Trenton GA 30752,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Floy,Poulos,, ,,,
1177,1873,1104,Yolanda Sparks,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/15/11 9:16,7/15/11 9:16,,423-285-5676,,,,,,126 Kentucky Ave #7,,Dayton,TN,37321,United States,,Yolanda Sparks 126 Kentucky Ave #7 Dayton TN 37321,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Yolanda,Sparks,7/15/11, ,,,
1178,1874,1105,Mary R Lee,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/15/11 14:12,7/15/11 14:12,,423-842-8015,,,,,,PMB 235  5251 Hwy 153 Suite C,,Hixson,TN,37343,United States,Mary R Lee PMB 235  5251 Hwy 153 Suite C Hixson TN 37343,Mary R Lee PMB 235  5251 Hwy 153 Suite C Hixson TN 37343,,No,,,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Mary,Lee,7/29/11, ,,,Delivered by Bo Hughes
1179,1876,1107,Darnell Osburn,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/18/11 14:55,2/17/12 11:38,,708-638-1785,,,,,,98 Punkin Lane,,LaFayette,GA,30728,United States,Darnell Osburn 98 Punkin Lane LaFayette GA 30728,Darnell Osburn 98 Punkin Lane LaFayette GA 30728,,No,,,Yes,GA_WALKER CO,,0,0,,0,,No,No,Darnell,Osburn,, ,,,Delivered by Bo Hughes
1180,1877,1108,Franklin Flynn,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/18/11 15:09,7/18/11 15:09,,423-618-9630,,,,,,P O Box 2102,,Dunlap,TN,37327,United States,Franklin Flynn P O Box 2102 Dunlap TN 37327,Franklin Flynn P O Box 2102 Dunlap TN 37327,,No,,,Yes,TN_SEQUATCHIE CO,,0,0,,0,,No,No,Franklin,Flynn,, ,,,Delivered by Bo Hughes
1181,1880,1109,Mary Sidowey,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/19/11 11:20,8/19/11 14:28,,706-858-3079,,,,,,952 Crestridge Drive,,Rossville,GA,30741,United States,Mary Sidowey 952 Crestridge Drive Rossville GA 30741,Mary Sidowey 952 Crestridge Drive Rossville GA 30741,,No,,,Yes,GA_WALKER CO,,0,0,,0,,No,No,Mary,Sidowey,7/19/11, ,,,Delivered by Bo Hughes
1182,1881,1110,Jerry Caminiti,,Patient,,Yes,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,7/19/11 15:24,7/19/11 15:24,,423-332-6044,,,,,,10405 Card Rd Apt 123,,Soddy Daisy,TN,37379,United States,Jerry Caminiti 10405 Card Rd Apt 123 Soddy Daisy TN 37379,Jerry Caminiti 10405 Card Rd Apt 123 Soddy Daisy TN 37379,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Jerry,Caminiti,9/14/11, ,,,
1183,1882,1111,Patrick Bates,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/19/11 16:55,7/19/11 16:55,,770-401-3871,,,,,,,,,,,,,,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Patrick,Bates,7/29/11, ,,,
1184,1884,1112,Linda Melton,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/19/11 17:58,7/19/11 17:58,,423-605-1681,,,,,,6109 Morning Glory Dr,,Harrison,TN,37341,United States,Linda Melton 6109 Morning Glory Dr Harrison TN 37341,Linda Melton 6109 Morning Glory Dr Harrison TN 37341,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Linda,Melton,7/29/11, ,,,
1185,1886,1114,Roberta (Robin) Shade,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/20/11 10:04,3/13/12 13:18,,571-393-8342,,,,,,8757 CATHER AVE,,Manassas,VA,20110,United States,,Roberta (Robin) Shade 8757 CATHER AVE Manassas VA 20110,,No,Net 30,Retail Price,Yes,,,-680.1,2903.76,,643.65,237,Yes,No,Roberta (Robin),Shade,7/20/11, ,,,
1186,1890,1118,Charlotte Lingo,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/20/11 13:26,7/20/11 13:26,,423-356-5049,,,,,,7003 Tyner Road,,Chattanooga,TN,37421,United States,Charlotte Lingo 7003 Tyner Road Chattanooga TN 37421,Charlotte Lingo 7003 Tyner Road Chattanooga TN 37421,,No,,,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Charlotte,Lingo,7/25/11, ,,,Delivered by Bo Hughes
1187,1891,1119,Margaret Creel,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/20/11 13:55,7/20/11 13:55,,423-645-9092,,,,,,2416 Cone Flower Trail,,Chattanooga,TN,37421,United States,Margaret Creel 2416 Cone Flower Trail Chattanooga TN 37421,Margaret Creel 2416 Cone Flower Trail Chattanooga TN 37421,,No,,,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Margaret,Creel,8/31/11, ,,,Delivered by Bo Hughes
1188,1893,1121,Cynthia Cole,,Patient,,Yes,"Hughes, Bo",CUSTOMER-Closed Won,,,,,,,7/20/11 16:28,7/20/11 16:28,,423-314-1907,,,,,,4246 Green Acres Dr,,Ooltewah,TN,37363,United States,Cynthia Cole 4246 Green Acres Dr Ooltewah TN 37363,Cynthia Cole 4246 Green Acres Dr Ooltewah TN 37363,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Cynthia,Cole,7/20/11, ,,,
1189,1894,1122,Jamie Brown,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/20/11 17:55,7/20/11 17:55,,423-618-3401,,,,,,3811 Jarren Ct,,Chattanooga,TN,37415,United States,Jamie Brown 3811 Jarren Ct Chattanooga TN 37415,Jamie Brown 3811 Jarren Ct Chattanooga TN 37415,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,102.7,0,,651.18,235,Yes,No,Jamie,Brown,7/22/11, ,,,
1190,1895,1123,Wayne Gentry,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/20/11 18:09,2/17/12 11:51,,423-624-2696,,,,,,1331 Beaverdale Cohutta Rd,,Cohutta,GA,30710,United States,CPM-Gunbarrel C/O Dr Yoder Wayne Gentry 1751 Gunbarrel Rd Ste G-10 Chattanooga TN 37421,Wayne Gentry 1331 Beaverdale Cohutta Rd Cohutta GA 30710,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Wayne,Gentry,, ,,,
1191,1896,1124,Shirley Lemons,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/20/11 18:19,7/20/11 18:19,,423-296-9067,,,,,,7511 Shallowford Rd Apt 237,,Chattanooga,TN,37421,United States,,Shirley Lemons 7511 Shallowford Rd Apt 237 Chattanooga TN 37421,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Shirley,Lemons,, ,,,
1192,1897,1125,Joan Tanner,,Patient,,Yes,"Patella, William J",CUSTOMER-Closed Won,,,,,,,7/20/11 18:28,8/17/11 14:32,,706-866-3611,,,,,,80 Pepper Corn Lane,,Rossville,GA,30741,United States,Joan Tanner 80 Pepper Corn Lane Rossville GA 30741,Joan Tanner 80 Pepper Corn Lane Rossville GA 30741,,No,Net 30,Retail Price,Yes,,,0,0,,0,,No,No,Joan,Tanner,7/28/11, ,,,
1193,1899,1127,Danny Perry,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/21/11 11:05,8/15/11 15:24,,423-486-4463,,,,,,9814 Reynolds Rd,,Soddy Daisy,TN,37379,United States,Danny Perry 9814 Reynolds Rd Soddy Daisy TN 37379,Danny Perry 9814 Reynolds Rd Soddy Daisy TN 37379,,No,Net 30,List Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Danny,Perry,7/26/11, ,,,
1194,1903,1128,Warren Poling,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/21/11 14:06,7/21/11 14:06,,423-892-8263,,,,,,1039 Shady Fork Rd,,Chattanooga,TN,37421,United States,,Warren Poling 1039 Shady Fork Rd Chattanooga TN 37421,,No,Net 30,Retail Price,Yes,TN_HAMILTON CO,,0,0,,0,,No,No,Warren,Poling,7/29/11, ,,,
1195,1904,1129,Amy Smith,,Patient,,Yes,,CUSTOMER-Closed Won,,,,,,,7/21/11 14:34,7/21/11 14:34,,423-310-3751,,,,,,115 Lewis Street NE,,Cleveland,TN,37311,United States,Amy Smith 115 Lewis Street NE Cleveland TN 37311,Amy Smith 115 Lewis Street NE Cleveland TN 37311,,No,,,Yes,TN_BRADLEY CO,,0,0,,0,,No,No,Amy,Smith,7/22/11, ,,,Delivered by Bo Hughes
